frame,battery,height,status,timestamp
724,69,100,Flying,20:35:08
725,69,100,Flying,20:35:09
726,69,100,Flying,20:35:09
727,69,100,Flying,20:35:09
728,69,100,Flying,20:35:09
729,69,100,Flying,20:35:09
730,69,100,Flying,20:35:09
731,69,100,Flying,20:35:09
732,69,100,Flying,20:35:09
733,69,100,Flying,20:35:09
734,69,100,Flying,20:35:09
735,69,100,Flying,20:35:09
736,69,100,Flying,20:35:09
737,69,100,Flying,20:35:09
738,69,100,Flying,20:35:09
739,69,100,Flying,20:35:09
740,69,100,Flying,20:35:09
741,69,100,Flying,20:35:09
742,69,100,Flying,20:35:09
743,69,100,Flying,20:35:09
744,69,100,Flying,20:35:09
745,69,100,Flying,20:35:10
746,69,100,Flying,20:35:10
747,68,100,Flying,20:35:10
748,68,100,Flying,20:35:10
749,68,100,Flying,20:35:10
750,68,100,Flying,20:35:10
751,68,100,Flying,20:35:10
752,68,100,Flying,20:35:10
753,68,100,Flying,20:35:10
754,68,100,Flying,20:35:10
755,68,100,Flying,20:35:10
756,68,100,Flying,20:35:10
757,68,100,Flying,20:35:10
758,68,100,Flying,20:35:10
759,68,100,Flying,20:35:10
760,68,100,Flying,20:35:10
761,68,100,Flying,20:35:10
762,68,100,Flying,20:35:10
763,68,100,Flying,20:35:10
764,68,100,Flying,20:35:11
765,68,100,Flying,20:35:11
766,68,100,Flying,20:35:11
767,68,100,Flying,20:35:11
768,68,100,Flying,20:35:11
769,68,100,Flying,20:35:11
770,68,100,Flying,20:35:11
771,68,100,Flying,20:35:11
772,68,100,Flying,20:35:11
773,68,100,Flying,20:35:11
774,68,100,Flying,20:35:11
775,68,100,Flying,20:35:11
776,68,100,Flying,20:35:11
777,67,100,Flying,20:35:11
778,67,100,Flying,20:35:11
779,67,100,Flying,20:35:11
780,67,100,Flying,20:35:11
781,67,100,Flying,20:35:11
782,67,100,Flying,20:35:11
783,67,100,Flying,20:35:12
784,67,100,Flying,20:35:12
785,67,100,Flying,20:35:12
786,67,100,Flying,20:35:12
787,67,100,Flying,20:35:12
788,67,100,Flying,20:35:12
789,67,100,Flying,20:35:12
790,67,100,Flying,20:35:12
791,67,100,Flying,20:35:12
792,67,100,Flying,20:35:12
793,67,100,Flying,20:35:12
794,67,100,Flying,20:35:12
795,67,100,Flying,20:35:12
796,67,100,Flying,20:35:12
797,67,100,Flying,20:35:12
798,67,100,Flying,20:35:12
799,67,100,Flying,20:35:12
800,67,100,Flying,20:35:12
801,67,100,Flying,20:35:12
802,67,100,Flying,20:35:13
803,67,100,Flying,20:35:13
804,67,100,Flying,20:35:13
805,67,100,Flying,20:35:13
806,67,100,Flying,20:35:13
807,67,90,Flying,20:35:13
808,67,90,Flying,20:35:13
809,67,90,Flying,20:35:13
810,67,90,Flying,20:35:13
811,67,90,Flying,20:35:13
812,67,90,Flying,20:35:13
813,67,90,Flying,20:35:13
814,67,90,Flying,20:35:13
815,67,90,Flying,20:35:13
816,67,90,Flying,20:35:13
817,67,90,Flying,20:35:13
818,67,90,Flying,20:35:13
819,67,90,Flying,20:35:13
820,67,90,Flying,20:35:13
821,67,90,Flying,20:35:13
822,67,90,Flying,20:35:14
823,67,90,Flying,20:35:14
824,67,90,Flying,20:35:14
825,67,90,Flying,20:35:14
826,67,90,Flying,20:35:14
827,67,90,Flying,20:35:14
828,67,90,Flying,20:35:14
829,67,90,Flying,20:35:14
830,67,90,Flying,20:35:14
831,67,90,Flying,20:35:14
832,67,90,Flying,20:35:14
833,67,90,Flying,20:35:14
834,67,90,Flying,20:35:14
835,67,90,Flying,20:35:14
836,67,90,Flying,20:35:14
837,66,100,Flying,20:35:14
838,66,100,Flying,20:35:14
839,66,100,Flying,20:35:14
840,66,100,Flying,20:35:14
841,66,100,Flying,20:35:15
842,66,100,Flying,20:35:15
843,66,100,Flying,20:35:15
844,66,100,Flying,20:35:15
845,66,100,Flying,20:35:15
846,66,100,Flying,20:35:15
847,66,100,Flying,20:35:15
848,66,100,Flying,20:35:15
849,66,100,Flying,20:35:15
850,66,100,Flying,20:35:15
851,66,100,Flying,20:35:15
852,66,100,Flying,20:35:15
853,66,100,Flying,20:35:15
